year,as_count,prepend_count
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,60,3
2006,0,0
2007,106,6
2008,158,6
2009,268,11
2010,453,16
2011,883,55
2012,1405,104
2013,1941,154
2014,2368,184
2015,2890,241
2016,3619,314
2017,4400,387
2018,5121,546
2019,5874,709
2020,6992,920
2021,8155,1157
2022,9009,1387
