year,as_count,prepend_count
2002,0,0
2003,9305,2990
2004,10641,3384
2005,11641,3699
2006,13234,4376
2007,14671,5031
2008,16526,5756
2009,0,0
2010,19951,7423
2011,21976,7974
2012,24054,8942
2013,25907,9921
2014,27560,10438
2015,29413,11087
2016,30991,11765
2017,33062,12709
2018,36113,14270
2019,38965,15878
2020,40974,17163
2021,42646,18058
2022,43423,18867
