year,as_count,prepend_count
2002,0,0
2003,0,0
2004,0,0
2005,92,1
2006,0,0
2007,180,3
2008,213,3
2009,316,12
2010,509,22
2011,998,63
2012,1471,117
2013,1917,143
2014,2280,183
2015,2638,188
2016,3181,202
2017,3653,242
2018,4144,304
2019,4784,366
2020,5751,408
2021,6829,489
2022,12160,517
