year,route_count,prepend_count
2002,0,0
2003,0,0
2004,0,0
2005,168,5
2006,0,0
2007,862,24
2008,1190,24
2009,2543,65
2010,4488,125
2011,11759,679
2012,23612,1395
2013,78224,7299
2014,89507,8393
2015,81265,7468
2016,139739,12409
2017,194206,15836
2018,272835,21893
2019,700317,56427
2020,2067022,161823
2021,2665650,171566
2022,2870705,157689
