year,as_count,prepend_count
2000,0,0
2001,0,0
2002,3913,685
2003,4689,905
2004,5467,1106
2005,6284,1293
2006,7234,1460
2007,8367,1781
2008,9603,2207
2009,10834,2557
2010,12067,2764
2011,13550,3274
2012,15117,3996
2013,16551,4670
2014,18029,5057
2015,19766,5672
2016,21553,6185
2017,23431,6920
2018,25431,7827
2019,27596,9283
2020,30002,10533
2021,32082,11847
2022,33573,13368
