year,route_count,prepend_count
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,1463944,118119
2010,3602743,310882
2011,4052269,393006
2012,5099788,497032
