year,route_count,prepend_count
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,96,0
2011,874,0
2012,1016,2
2013,878,0
2014,986,0
2015,1364,0
2016,1360,0
2017,1906,0
2018,3338,0
2019,7201,0
2020,7610,137
2021,6097,124
2022,5659,110
