year,route_count,prepend_count
2002,638475,38226
2003,724175,46856
2004,787483,49276
2005,742406,50127
2006,948288,67583
2007,977486,74848
2008,1578178,123244
2009,1588596,124644
2010,1465110,116883
2011,2340719,188490
2012,3307999,281756
2013,3679006,321440
2014,3686555,328266
2015,3747128,341477
2016,3406947,322430
2017,4161204,402163
2018,5339749,547286
2019,11879325,1238413
2020,23437672,2396380
2021,22040891,2355350
2022,19410353,2129218
