month,route_count,prepend_count,prepend_lengths,prepend_counts
01,47020470,16,"(2,)","(16,)"
02,46312492,15,"(2,)","(15,)"
03,45770210,2,"(254,)","(2,)"
04,46570076,3,"(254,)","(3,)"
05,47535923,3,"(254,)","(3,)"
06,47685192,3,"(254,)","(3,)"
07,48731083,3,"(254,)","(3,)"
08,47019571,4,"(254,)","(4,)"
09,49108040,4,"(254,)","(4,)"
10,51013453,4,"(254,)","(4,)"
11,50247981,4,"(254,)","(4,)"
12,50418089,4,"(254,)","(4,)"
