3,22
4,9
262149,2
5,8
7,3
8,3
9,8
262148,2
14,3
16,4
262156,3
19,3
20,4
262159,2
26,4
262168,2
29,5
6,5
32,2
262178,2
31,4
38,2
47,5
49,3
50,2
52,2
262194,8
63,3
70,3
262213,2
262220,3
262224,2
77,2
85,2
262230,2
88,3
262231,4
91,3
92,4
262238,2
262241,2
18,2
100,7
103,5
104,2
262247,3
262249,2
109,18
111,4
112,36
262256,3
262252,2
262254,3
262255,2
262258,2
122,4
125,3
127,3
131,2
262280,2
140,2
262283,2
262290,2
262285,3
262292,2
262294,2
262295,3
262297,3
262299,4
158,3
159,2
160,4
262304,3
262306,2
262309,3
262311,2
262312,3
262315,2
262322,2
262323,2
262327,2
262328,2
262333,2
186,2
188,3
262338,2
262344,2
262346,2
262351,3
262349,2
262359,2
262356,2
262357,3
262366,3
262369,2
229,2
262376,4
262382,3
262379,4
262380,2
262381,2
262388,2
262389,3
262390,3
257,2
262407,3
267,2
262411,3
262413,2
262414,2
262415,2
262418,3
278,6
262422,2
262423,2
288,3
262426,4
262435,3
262441,3
299,3
262452,2
262453,3
262463,2
317,2
262465,3
262469,2
262470,3
321,2
262478,2
262480,2
262483,3
262486,2
262487,2
341,2
262489,3
262499,3
262501,2
367,2
262512,3
262514,3
262518,3
262519,3
262524,3
262521,3
262530,2
262539,2
262540,3
262542,3
262543,3
262545,3
262549,2
262550,3
262551,2
409,2
262552,2
262557,3
262560,2
262559,2
262568,2
262577,2
262578,3
262583,2
262591,2
262585,3
262593,3
262597,3
262603,2
262614,2
262615,3
262616,2
262620,2
262624,4
262625,2
262629,2
262633,2
97,3
262637,2
262644,3
262646,2
262648,3
262649,2
262651,2
510,2
262656,2
262652,2
262655,2
262662,3
262661,2
262667,3
262663,36
262671,3
262674,2
262679,2
21,6
262685,2
262691,2
262690,2
262695,2
262693,4
262694,3
262708,2
262710,2
262712,2
262714,3
262715,2
262728,3
262730,5
589,4
262736,2
262738,2
262739,2
262741,2
262744,2
262745,3
262748,2
262747,3
262751,2
262752,2
262750,4
262757,3
262754,3
262762,2
262763,3
262767,5
262770,2
262775,2
262777,3
262779,3
262780,2
262781,2
637,2
262790,2
262798,2
262799,2
262801,2
262803,3
262805,6
262809,4
262810,2
262813,3
665,2
683,2
262828,2
262834,3
262830,3
693,2
262855,3
262860,2
262861,2
262866,2
262867,5
262875,5
262876,2
262878,2
262879,3
262881,3
262885,2
262889,2
262893,3
262895,2
262891,2
262902,2
262905,3
262913,4
262916,3
773,3
262931,2
262932,3
792,3
800,4
262944,2
806,4
262954,5
262957,3
813,2
262963,2
823,2
262967,4
262968,2
166,2
262983,3
262977,2
167,2
262981,2
262985,2
262990,4
262996,2
263002,2
263010,2
263012,2
263015,2
263022,2
263027,3
263040,2
263043,4
263046,2
263049,2
263057,2
263058,2
263059,2
263065,3
263075,2
263081,2
263083,2
263087,2
945,4
952,4
263089,2
263095,2
263109,5
263110,3
968,11
263120,2
263126,3
263137,4
263142,2
1003,2
263157,4
1024,2
263170,2
1021,2
263173,2
1023,2
263169,2
263181,2
263182,3
263190,2
263193,2
